,Organisation,id
0,A Little Gesture A Great Help, 1141990-0
1,A Smile For A Child, 1112963-0
2,ABF The Soldiers' Charity, 1146420-0
3,Abigail's Footsteps, 1149005-0
4,Abortion Support Network, 1142120-0
5,Ace Africa, 1111283-0
6,Aching Arms, 1153296-0
7,Action for A-T, 1145303-0
8,Action for Children, 1077594-0
9,Action For Kids, 1053470-0
10,Action on Addiction, 1117988-0
11,Action on Elder Abuse, 1140543-0
12,Action on Hearing Loss, 207720-0
13,Action Village India, 1118845-0
14,ActionAid, 274467-0
15,Acts of Hope, 1080001-0
16,African Promise, 1122285-0
17,Aga Khan Foundation (United Kingdom) - AKF (UK), 266518-0
18,Age UK Camden, 293446-0
19,Age UK London, 1092198-0
20,Age UK Wandsworth, 1069406-0
21,AGSD-UK, 1132271-0
22,Ali's Gift, 1162396-0
23,Alzheimer's Research UK, 1077089-0
24,Alzheimer's Society, 296645-0
25,Ambitious about Autism, 1063184-0
26,AMEND, 1153890-0
27,Amnesty International UK, 1051681-0
28,Amos Trust, 292592-0
29,Animal Free Research UK, 1146896-0
30,Anonymous Child, 1166698-0
31,Anthony Nolan, 803716-0
32,APP, 1163957-0
33,Architecture for Humanity UK, 1115668-0
34,Artbox London, 1148174-0
35,Arthritis Research UK, 207711-0
36,Arthur Rank Hospice Charity, 283353-0
37,Arts 4 Dementia, 1140842-0
38,ASOS Foundation, 1153946-0
39,Asthma UK, 802364-0
40,Auditory Verbal UK, 1095133-0
41,Autism Anglia, 1063717-0
42,Autistica, 1107350-0
43,Azalea, 1126716-0
44,Back Up, 1070437-0
45,Barnardo's, 216250-0
46,Battersea Dogs & Cats Home, 206394-0
47,Beating Bowel Cancer, 1063614-0
48,Become, 1010518-0
49,Berkshire County Blind Society, 1146413-0
50,BeyondAutism, 1082599-0
51,Birth Companions, 1120934-0
52,Birthrights, 1151152-0
53,BJ Trust, 1146464-0
54,Blind Veterans UK, 216227-0
55,Bliss, 229189-0
56,Bloodwise, 216032-0
57,Bobath Centre for Adults with Neurological Disability, 1039162-0
58,Bobath Centre for Children with Cerebral Palsy, 229663-0
59,Bone Cancer Research Trust, 1159590-0
60,Bounce Back Project, 1132997-0
61,Bowel Cancer UK, 1071038-0
62,Brain & Spine Foundation, 1140361-0
63,Brain Tumour Research, 295895-0
64,brainstrust, 1114634-0
65,Brake, 1023244-0
66,Breast Cancer Care, 1017658-0
67,Breast Cancer Haven, 1061726-0
68,Breast Cancer Now, 1160558-0
69,Brentford FC Community Sports Trust, 1112784-0
70,British Heart Foundation, 225971-0
71,British Lung Foundation, 326730-0
72,British Paralympic Association, 802385-0
73,British Red Cross, 220949-0
74,Brooke, 1085760-0
75,Build Africa, 1127661-0
76,Buttle UK, 313007-0
77,CALM, 1161807-0
78,Camfed International, 1029161-0
79,Camp Simcha, 1044685-0
80,Cancer Research UK, 1144860-0
81,Cardiac Risk in the Young, 1050845-0
82,Carers Network, 1001288-0
83,Carers Worldwide, 1150214-0
84,Catholic Children's Society (Plymouth), 282803-0
85,Cats Protection, 1062472-0
86,Centrepoint, 292411-0
87,Chabad Lubavitch of Islington, 1164760-0
88,Chain of Hope, 1081384-0
89,ChallengeAid, 1109055-0
90,Chamos Charity, 1123410-0
91,Charlotte No 2 Trust, 802107-0
92,Chelsea Children's Hospital Charity, 283091-0
93,Chickenshed, 1102471-0
94,Child Bereavement UK, 1040419-0
95,Children & the Arts, 1146935-0
96,Children in Crisis, 1020488-0
97,CHildren Promotion Society Orphanage Nepal, 1137324-0
98,Children's Cancer and Leukaemia Group, 286669-0
99,"Children's Hospital Trust, South Africa", 1121573-0
100,Chilterns MS Centre, 800853-0
101,Chordoma UK, 1173201-0
102,City of London School, 1097123-0
103,CLEFT, 1119630-0
104,CLIC Sargent, 1107328-0
105,Clowns Without Borders UK, 1156987-0
106,Coeliac UK, 1048167-0
107,Combat Stress, 206002-0
108,Community Links, 1075926-0
109,CoppaFeel!, 1132366-0
110,Coram's Fields, 302963-0
111,CRiBs Charitable Trust, 1122295-0
112,CRIS CANCER Foundation, 1140193-0
113,Crisis UK, 1166440-0
114,Crohns and Colitis UK, 1117148-0
115,cure cancer at ucl, 1141310-0
116,Cynthia Spencer Hospice, 1110967-0
117,Cystic Fibrosis Holiday Fund, 1088630-0
118,Cystic Fibrosis Trust, 1079049-0
119,Daughter's of the Cross (St Raphael's Hospice), 1068661-0
120,Dementia UK, 1039404-0
121,Diabetes UK, 215199-0
122,Disability and Development Partners (DDP), 1046001-0
123,Diversity Role Models, 1142548-0
124,Dogs Trust, 801583-0
125,Down's South London, 1123045-0
126,Dravet Syndrome UK, 1128289-0
127,Duchenne UK, 1147094-0
128,East Anglian Air Ambulance, 1083876-0
129,Eating Disorders Association, 1003974-0
130,Elimination of Leukaemia Fund, 1150414-0
131,Ella Roberta Family Foundation, 1158212-0
132,Ellen MacArthur Cancer Trust, 1096491-0
133,Embrace Child Victims of Crime, 1166103-0
134,EMERGENCY UK, 1148818-0
135,Emmaus UK, 267322-0
136,EMpower, 1058285-0
137,Environmental Investigation Agency, 1145359-0
138,Epilepsy Action, 234343-0
139,Epilepsy Research UK, 1100394-0
140,Epilepsy Society, 206186-0
141,Evelina London Children's Hospital, 1165881-0
142,Evolve Housing + Support, 1099051-0
143,EY Foundation, 1157154-0
144,Family Action, 1154286-0
145,Family Fund, 1053866-0
146,Family Holiday Association, 800262-0
147,Family Rights Group, 1015665-0
148,FANY(PRVC), 249360-0
149,FareShare, 1075477-0
150,Feed the Minds, 291333-0
151,Fight for Sight, 1111438-0
152,Find Your Feet, 250456-0
153,Findacure, 1149646-0
154,First Touch - supporting sick & premature babies at St George's, 1072500-0
155,ForCrohns, 1072500-0
156,Foundation for Angelman Syndrome Therapeutics UK (FAST UK), 1167984-0
157,Freewheelers Theatre and Media, 1142638-0
158,Friends of Colombia for Social Aid, 274778-0
159,Friends of Home from Home (UK), 1117433-0
160,Friends of PICU, 1116880-0
161,Fulham Good Neighbou Service, 1113752-0
162,Future Dreams, 1123526-0
163,Genesis Research Trust, 292518-0
164,GET KIDS GOING, 1063471-0
165,Glad's House, 1115744-0
166,Glass Door, 1083203-0
167,Global H2O UK, 1149984-0
168,Globalâs Make Some Noise, 1127578-0
169,GOSH, 1160024-0
170,GRACE, 1062248-0
171,Grandparents Plus, 1093975-0
172,Greenwich & Bexley Community Hospice, 802103-0
173,Grief Encounter, 1101277-0
174,Guide Dogs, 209617-0
175,Gynaecology Cancer Research Fund, 1091708-0
176,HAMPDEN GURNEY PTA, 1101423-0
177,Hampers of Hope, 1152338-0
178,Happy Africa Foundation, 1123529-0
179,Happy Days Children's Charity, 1010943-0
180,HAVENS HOSPICES, 1022119-0
181,Heads On, 1089450-0
182,Headway - the brain injury association, 1025852-0
183,HeadWrappers, 1025852-0
184,Help Musicians UK, 228089-0
185,Helping Rhinos, 1155309-0
186,HemiChat, 1155309-0
187,Herts MS Therapy Centre, 800849-0
188,Herts Young Homeless, 1069498-0
189,Hft, 1164801-0
190,Hi Kent, 1052036-0
191,Holbeton Preschool, 1128448-0
192,Holy's Home for Children, 1166541-0
193,Home-Start UK, 1108837-0
194,Homerton Hope Charity, 1041258-0
195,Hope and Homes for Children, 1089490-0
196,Hope for Children, 1003859-0
197,Hope for Tomorrow, 1094677-0
198,Hope in Action, 328716-0
199,Hospice UK, 1014851-0
200,Hospices of Hope, 1088475-0
201,Human Rights Watch, 1100101-0
202,Impetus-Private Equity Foundation, 1152262-0
203,In Kind Direct, 1052679-0
204,Inclusive Skating, 1111272-0
205,Independent Age, 210729-0
206,Independent Age, 210729-0
207,International Justice Mission, 1099126-0
208,Invest in ME Research, 1153730-0
209,ISWAN, 1102946-0
210,Jacaranda UK Foundation, 1163114-0
211,Janki Saye Foundation, 1161371-0
212,JDRF, 295716-0
213,Jersey Hospice Care, 1113140-0
214,Jewish Care, 220470-0
215,Jo's Cervical cancer Trust, 1133542-0
216,Joshua Hayday Helping Hand Trust, 1134104-0
217,JUSTICE, 1154035-0
218,Kabuki UK, 1150972-0
219,Kent MS Therapy Centre, 800849-0
220,Khula, 800849-0
221,Kicks Count, 1145073-0
222,KickStart Ghana, 1139399-0
223,Kidney Care UK, 1101846-0
224,KIDS, 1075221-0
225,Kids Club Kampala, 1152451-0
226,KidsOut, 1075789-0
227,Kinergy, 1099140-0
228,Kisharon, 1084112-0
229,Lambeth and Southwark Mind, 296893-0
230,Lawyers for Justice in Libya, 1152068-0
231,Leonard Cheshire Disability, 218186-0
232,Leuka, 1154856-0
233,Link Ethiopia, 1086141-0
234,Lisa May Foundation, 1108763-0
235,London Football Journeys, 1152450-0
236,London Legal Support Trust, 1101906-0
237,London Youth, 303324-0
238,London's Air Ambulance, 801013-0
239,Lord's Taverners, 306054-0
240,Lucy Air Ambulance for Children, 1138457-0
241,LUPUS UK, 1051610-0
242,Lymphoma Association, 1068395-0
243,Macmillan Cancer Support, 261017-0
244,Macular Disease Society, 1001198-0
245,Magen David Adom UK, 1113409-0
246,Maggie's, 1112163-0
247,Make-A-Wish UK, 295672-0
248,Malaika Kids UK, 1118149-0
249,Mane Chance Sanctuary, 1144144-0
250,MapAction, 1126727-0
251,Marie Curie, 207994-0
252,Marine Connection, 1062222-0
253,Marine Society & Sea Cadets, 212034-0
254,Mark Davies Injured Riders Fund, 1022281-0
255,Maruva Trust, 1124255-0
256,Matthew's Friends, 1113744-0
257,Max's Foundation, 1143876-0
258,Mayor's Fund for London, 1141216-0
259,MediCinema, 1058197-0
260,Meeting Needs, 810068-0
261,Mencap, 1004262-0
262,Mental Health Foundation, 801130-0
263,Mentor Foundation UK, 1112339-0
264,Message Trust, 231070-0
265,MicroLoan Foundation, 1104287-0
266,Microtia UK, 1158688-0
267,Mind, 219830-0
268,Momentum, 1152916-0
269,Moorfields Eye Charity, 1140679-0
270,MQ: Transforming mental health, 1139916-0
271,MS Society, 1139257-0
272,MS-UK, 1033731-0
273,MTV Staying Alive Foundation, 1140295-0
274,Muktangan UK Trust, 1155393-0
275,Mums And Midwives Awareness Academy, 1153325-0
276,Muscular Dystrophy UK, 205395-0
277,Music of Life Foundation, 1102827-0
278,Myisrael, 1149500-0
279,National Ankylosing Spondylitis Society, 272258-0
280,National Deaf Children's Society, 1016532-0
281,National Kidney Federation, 1106735-0
282,National Literacy Trust, 1116260-0
283,National Osteoporosis Society, 1102712-0
284,National Rheumatoid Arthritis Society, 1134859-0
285,Nepal Youth Foundation, 1115394-0
286,NICARAGUA SOLDARITY CAMPAIGN, 1106881-0
287,Noah's Ark Children's Hospice, 1081156-0
288,Nordoff Robbins, 280960-0
289,North London Cares, 1048544-0
290,Norwood, 1059050-0
291,Nova New Opportunities, 1158238-0
292,NSPCC, 1120778-0
293,Nurture Group Network, 1115972-0
294,Nystagmus Network, 803440-0
295,OCD-UK, 1103210-0
296,Octavia Foundation, 1065817-0
297,Only Connect, 1116147-0
298,Open Doors (North East), 1099865-0
299,Opening Doors London, 1167919-0
300,Operation Smile, 1091316-0
301,Oracle Cancer Trust, 1142037-0
302,Orangutan Appeal UK., 1138538-0
303,Orchid, 1080540-0
304,Ovarian Cancer Action, 1109743-0
305,Over The Wall, 1075361-0
306,Oxfam GB, 202918-0
307,Panathlon Foundation Ltd, 1072638-0
308,Pancreatic Cancer Action, 1137689-0
309,Pancreatic Cancer Research Fund, 1007819-0
310,Pancreatic Cancer UK, 1112708-0
311,Parkinson's UK, 258197-0
312,parnell fund, 1167149-0
313,Partner West Africa, 1152479-0
314,Peace Brigades International UK, 1101016-0
315,Pembridge Hospice Charity, 283353-0
316,Perennial - Gardeners' Royal Benevolent Society, 1155156-0
317,Phab, 283931-0
318,Phelan-McDermid Syndrome Foundation, 1157423-0
319,Place2Be, 1040756-0
320,Plan International UK, 276035-0
321,Police Dependants' Trust, 251021-0
322,Pratham UK, 1099386-0
323,Princess Alexandra Hospital NHS Trust Breast Unit, 1054745-0
324,Princess Alice Hospice, 1010930-0
325,Prisoners' Education Trust, 1084718-0
326,Prostate Cancer UK, 1005541-0
327,Pursuing Independent Paths (PIP), 1088592-0
328,Queen Elizabeth Scholarship Trust, 1152032-0
329,Quintessentially Foundation, 1144584-0
330,R Charity, 202987-0
331,Railway Children, 1060534-0
332,Rainbow Trust Children's Charity, 1070532-0
333,Rare Chromosome Disorder Support Group, 1110661-0
334,Rays of Sunshine Children's Charity, 294915-0
335,ReachOut Youth, 1096492-0
336,RedR UK, 1079752-0
337,REDRESS, 1015787-0
338,Redthread, 1051260-0
339,Refuge, 1146935-0
340,Refugee Connection, 1167122-0
341,Renewable World, 1119467-0
342,Resurgo Trust, 1100885-0
343,Rett UK, 1136809-0
344,Revitalise, 1090768-0
345,Re~Cycle, 1063570-0
346,RFU injured players foundation, 1122139-0
347,Richard House Children's Hospice, 1059029-0
348,Right To Play, 1088288-0
349,RNIB, 1156629-0
350,RoadPeace, 1087192-0
351,Rooprai Spinal Trust, 1111092-0
352,Roy Castle Lung Cancer Foundation, 1046854-0
353,Royal British Legion Industries, 210063-0
354,Royal Brompton and Harefield Hospitals Charity, 1053584-0
355,Royal Hospital for Neuro-disability, 205907-0
356,Royal Trinity Hospice, 1013945-0
357,Royal Veterinary College Animal Care Trust, 281571-0
358,Royal Voluntary Service, 1015988-0
359,RP Fighting Blindness, 1153851-0
360,Ruils, 1127896-0
361,SafeLives, 1106864-0
362,Safer London, 1109444-0
363,Saint Francis Hospice, 275913-0
364,Samaritans, 249036-0
365,Sarcoma UK, 1139869-0
366,Save the Children, 213890-0
367,Schoolreaders, 1159157-0
368,Scleroderma and Raynauds UK, 1161828-0
369,Scope, 1096424-0
370,SCT, 1075947-0
371,Secret World Wildlife Rescue, 1097119-0
372,SeeAbility, 255913-0
373,Send a Cow, 299717-0
374,Sense, 1139790-0
375,Shaare Zedek, 262870-0
376,Shelter, 263710-0
377,Shine Cancer Support, 1146902-0
378,Shivia, 1126444-0
379,Shooting Star Chase, 1042495-0
380,Sickle Cell Society, 1046631-0
381,Single Homeless project, 279859-0
382,Smile Train, 1114748-0
383,Snow Camp, 1101030-0
384,Solace Women's Aid, 1082450-0
385,South London Cares, 1157401-0
386,SPANA, 209015-0
387,Spinal Research, 1151015-0
388,Spread A Smile, 1152205-0
389,SSAFA the Armed Forces charity, 1148302-0
390,St Christopher's Hospice, 210667-0
391,St Clare Hospice, 1063631-0
392,St George's Hospital Charity, 1171195-0
393,St Giles Trust, 1066966-0
394,St John Ambulance, 255743-0
395,St John's Hospice, 1157030-0
396,St Joseph's Hospice, 1090151-0
397,St Kentigern Hospice, 519931-0
398,St Luke's Cheshire Hospice, 515595-0
399,St Mungo's, 1149085-0
400,St. Lukeâs Hospice, 279023-0
401,St. Mark's Hospital Foundation, 1088119-0
402,St. Vincent's Family Project, 1142095-0
403,Starfish Greathearts Foundation, 1093862-0
404,Starlight Children's Foundation, 296058-0
405,Steps2Recovery, 1138353-0
406,Stonewall, 236710-0
407,Street Child, 1105127-0
408,Streets of London, 1130801-0
409,Streetwise Opera, 1092931-0
410,Stroke Association, 211015-0
411,Success After Stroke, 1115016-0
412,Sue Ryder, 1052076-0
413,Tabora League for Children, 1141239-0
414,Target Ovarian Cancer, 1125038-0
415,Teach First, 1098294-0
416,Team Domenica, 1165494-0
417,Team Squirrel, 303705-0
418,Team Verrico, 1158126-0
419,Teenage Cancer Trust, 1062559-0
420,Temwa, 1101090-0
421,Terrence Higgins Trust, 288527-0
422,Thames Reach Charity, 1166311-0
423,The ADD-vance ADHD and Autism Trust, 1158968-0
424,The Akshaya Patra Foundation UK, 1117756-0
425,The Brain Tumour Charity, 1117538-0
426,The Brainwaev Centre Ltd, 1138465-0
427,The Brokerage Citylink, 1059173-0
428,The Brompton Fountain, 1110339-0
429,The CAIRN Trust, 1120038-0
430,The Children's Trust, 1105797-0
431,The Cleft Lip and Palate Association (CLAPA), 1108160-0
432,The Connection at St Martin's, 1040560-0
433,The Cure & Action for Tay-Sachs (CATS) Foundation, 1084793-0
434,The Cure Parkinson's Trust, 1111816-0
435,The David Sheldrick Wildlife Trust, 1103836-0
436,The Down's Syndrome Research Foundation Limited, 1058548-0
437,The Eleanor Rose Foundation, 1152033-0
438,The Flying Seagull Project, 1152433-0
439,The Fountain Centre, 1089086-0
440,The Friends of the PWRR, 1110383-0
441,The Galilee Foundation, 1118966-0
442,The Giraffe Project Children's Charity, 1149540-0
443,The Good Grief Trust, 1172763-0
444,The Haller Foundation, 1101725-0
445,The Head and Neck Cancer Foundation, 1109512-0
446,The Hilary Craft Charitable Foundation Limited, 1143743-0
447,The Hospice of St Francis, 280825-0
448,The Household Cavalry Foundation, 1151869-0
449,The Howard League for Penal Reform, 251926-0
450,The Institute of Cancer Research, 1135220-0
451,The Isabel Baker Foundation, 1166529-0
452,The J's Hospice, 1099562-0
453,The Katie Piper Foundation, 1133313-0
454,The Lily Foundation, 1097567-0
455,The Lily Foundation, 1097567-0
456,The Lullaby Trust, 262191-0
457,The Lunchbowl Network, 1114981-0
458,The Make A Difference Trust, 1124014-0
459,The Mariposa Trust, 1151108-0
460,The Maypole Project, 515493-0
461,The Maytree Respite Centre, 1087668-0
462,The Melanoma Research Foundation Limited, 1124716-0
463,The Mix, 1149539-0
464,The MND Association, 294354-0
465,The National Autistic Society, 269425-0
466,The National Brain Appeal, 290173-0
467,The Old Grey Europe Charitable `Trust, 1117296-0
468,The Papworth Trust, 211234-0
469,The Poppy Factory, 225348-0
470,The Prince's Countryside Fund, 1136077-0
471,The Prince's Trust, 290282-0
472,The Public Law Project, 1003342-0
473,The Rose Charitable Foundation, 1157176-0
474,The Royal British Legion, 1145007-0
475,The Royal Marsden Cancer Charity, 1095197-0
476,The Royal Society for Blind Children, 307892-0
477,The Salvation Army, 215174-0
478,The Sick Children's Trust, 284416-0
479,The Silver Line, 1147330-0
480,The Somerville Foundation, 1138088-0
481,The Zoological Society of London, 208728-0
482,Theodora Children's Charity, 1094532-0
483,Thomas Cook Children's Charity, 1091673-0
484,TIKO Foundation, 1145979-0
485,Tiny Tickers, 1078114-0
486,Together for Short Lives, 1144022-0
487,Tommy's, 1060508-0
488,Tomorrow's People, 1102759-0
489,TREE AID, 1135156-0
490,Trekstock, 1132421-0
491,UCH Cancer Fund, 326812-0
492,UCL Hospitals Charitable Foundation, 1165398-0
493,Uganda Children's Trust Fund, 1087960-0
494,UK Youth, 1104753-0
495,Understand Pain, 1156227-0
496,Unicef UK, 1072612-0
497,"Variety, the Children's Charity", 209259-0
498,Vetlife, 224776-0
499,Volunteer Reading Help, 296454-0
500,Walkabout Foundation, 1140850-0
501,War Child UK, 216227-0
502,WaterAid, 288701-0
503,Watford Mencap, 1004431-0
504,West London Mission, 1133739-0
505,White Lodge Centre, 286238-0
506,Whizz-Kidz, 802872-0
507,Wide Horizons, 1108458-0
508,Will to Win Foundation, 1147881-0
509,Wishes 4 Kids, 1092962-0
510,Woking Hospice, 1082798-0
511,Womankind Worldwide, 328206-0
512,Women's Aid Federation of England, 1054154-0
513,World Animal Protection, 1081849-0
514,World Child Cancer, 1084729-0
515,World Horse Welfare, 1121920-0
516,World Jewish Relief, 290767-0
517,Worldreader, 1158030-0
518,Worldwide Cancer Research, 1149511-0
519,WWF, 1081247-0
520,Yabonga UK, 1161823-0
521,Yarrow Housing, 1109324-0
522,YLC Ltd, 1109471-0
523,YouCan Youth Cancer Support, 1125389-0
524,Young Epilepsy, 311877-0
525,Young Roots, 1139685-0
526,Young Women's Trust, 217868-0
527,YoungDementia UK, 1133533-0
528,Youth Sport Trust International, 1040320-0
529,Zurich Community Trust (UK) Ltd, 1046637-0
